reporter_area_label,year,value,value_millions
Cayman Islands,2004,1953.0,1.953
Cayman Islands,2005,1967.0,1.967
Cayman Islands,2006,2197.0,2.197
Cayman Islands,2007,2008.0,2.008
Cayman Islands,2008,1856.0,1.856
Cayman Islands,2009,1792.0,1.792
Cayman Islands,2010,1886.0,1.886
Cayman Islands,2011,1710.0,1.71
Cayman Islands,2012,1829.0,1.829
Cayman Islands,2013,1721.0,1.721
Cayman Islands,2014,1993.0,1.993
Cayman Islands,2015,2102.0,2.102
Cayman Islands,2016,2097.0,2.097
Cayman Islands,2017,2147.0,2.147
Cayman Islands,2018,2384.0,2.384
Cayman Islands,2019,2334.0,2.334
Cayman Islands,2020,660.0,0.66
Cayman Islands,2022,1027.7,1.0277
Sri Lanka,1995,414.0,0.414
Sri Lanka,1996,315.0,0.315
Sri Lanka,1997,384.0,0.384
Sri Lanka,1998,409.0,0.409
Sri Lanka,1999,465.0,0.465
Sri Lanka,2000,445.0,0.445
Sri Lanka,2001,397.0,0.397
Sri Lanka,2002,457.0,0.457
Sri Lanka,2003,583.0,0.583
Sri Lanka,2004,681.0,0.681
Sri Lanka,2005,669.0,0.669
Sri Lanka,2006,689.0,0.689
Sri Lanka,2007,592.0,0.592
Sri Lanka,2008,526.0,0.526
Sri Lanka,2009,538.0,0.538
Sri Lanka,2010,766.0,0.766
Sri Lanka,2011,976.0,0.976
Sri Lanka,2012,1133.0,1.133
Sri Lanka,2013,1415.0,1.415
Sri Lanka,2014,1665.0,1.665
Sri Lanka,2015,1993.0,1.993
Sri Lanka,2016,2168.0,2.168
Sri Lanka,2017,2248.0,2.248
Sri Lanka,2018,2521.0,2.521
Sri Lanka,2019,2027.0,2.027
Sri Lanka,2020,540.0,0.54
Sri Lanka,2021,195.0,0.195
Sri Lanka,2022,758.8,0.7587999999999999
Chad,1995,58.0,0.058
Chad,1996,67.0,0.067
Chad,1997,77.0,0.077
Chad,1998,89.0,0.089
Chad,1999,93.0,0.093
Chad,2000,94.0,0.094
Chad,2001,175.0,0.175
